date,spread_obs,fair_value,mispricing,n_train,mispricing_mean_roll,mispricing_std_roll,mispricing_z,position,next_date,calendar_days_to_next,rolldown_change_1d,spread_change_1d,market_move_change_1d,spread_change_1d_bps,rolldown_change_1d_bps,market_move_change_1d_bps,position_lag1,gross_pnl,carry_rolldown_pnl,market_move_pnl,turnover,transaction_cost,net_pnl,equity_gross,equity_net,carry_rolldown_equity,market_move_equity,running_max,drawdown
2013-01-22,2.226090198038809,1.4066235542068184,-0.8194666438319906,756,,,,0.0,2013-01-23,1.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,
2013-01-23,2.215403398666705,1.4345673243284587,-0.7808360743382465,756,,,,0.0,2013-01-24,1.0,0.005009444869120472,-0.010686799372103817,-0.01569624424122429,-1.0686799372103817,0.5009444869120472,-1.5696244241224289,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-24,2.1455939180095704,1.421633256990288,-0.7239606610192824,756,,,,0.0,2013-01-28,4.0,0.004588450565146118,-0.06980948065713477,-0.07439793122228089,-6.980948065713477,0.4588450565146118,-7.439793122228089,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-28,2.237531697058848,1.276291475450489,-0.9612402216083591,756,,,,0.0,2013-01-29,1.0,0.019592657093948418,0.09193777904927769,0.07234512195532927,9.193777904927769,1.9592657093948418,7.234512195532927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-29,2.2672350375738226,1.401686431317096,-0.8655486062567266,756,,,,0.0,2013-01-30,1.0,0.004745865147514294,0.029703340514974474,0.02495747536746018,2.9703340514974474,0.47458651475142943,2.495747536746018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-30,2.290286764043614,1.422196668927387,-0.8680900951162271,756,,,,0.0,2013-01-31,1.0,0.00409194989276962,0.02305172646979159,0.01895977657702197,2.305172646979159,0.40919498927696196,1.895977657702197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-31,2.2912535710985384,1.4377070302540451,-0.8535465408444933,756,,,,0.0,2013-02-01,1.0,0.0043896203940185785,0.0009668070549242458,-0.0034228133390943327,0.09668070549242458,0.43896203940185785,-0.34228133390943327,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,2.141150165177108,1.4532227226621808,-0.6879274425149273,756,,,,0.0,2013-02-04,3.0,0.0033616244921041982,-0.15010340592143034,-0.15346503041353454,-15.010340592143034,0.3361624492104198,-15.346503041353454,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-04,2.205598384319618,1.4777717383426285,-0.7278266459769895,756,,,,0.0,2013-02-05,1.0,0.008172453483881625,0.06444821914250998,0.05627576565862835,6.444821914250998,0.8172453483881625,5.627576565862835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-05,2.310883014812104,1.4446990957160866,-0.8661839190960174,756,,,,0.0,2013-02-06,1.0,0.003274187061098388,0.10528463049248593,0.10201044343138754,10.528463049248593,0.3274187061098388,10.201044343138754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
