entry_date,exit_date,side,holding_days,holding_calendar_days,entry_z,exit_z,gross_pnl,carry_rolldown_pnl,market_move_pnl,transaction_cost,net_pnl,max_drawdown_trade
2014-02-03,2014-02-07,Long spread,4,4,1.3029237977047508,0.09104446753330628,344347.50812948245,14116.36147023998,330231.14665924245,10000.0,334347.50812948245,-32859.37231207825
2014-03-21,2014-04-03,Long spread,9,13,1.2713032325033555,-0.10764526670072341,-156703.99735199145,39484.536951638554,-196188.53430363003,10000.0,-166703.99735199145,-300569.0696031849
2014-05-26,2014-07-21,Short spread,37,56,-1.6696887257069182,0.3355412481211814,-31626.936436346296,-80067.2163002325,48440.27986388604,10000.0,-41626.936436346296,-507114.57495660277
2014-08-07,2014-08-21,Long spread,10,14,1.558104476163585,0.07793328883408009,47571.03865566848,5046.8574310773565,42524.18122459114,10000.0,37571.03865566848,-239586.76782467414
2014-08-25,2014-10-27,Long spread,45,63,1.512769983225258,-0.22492047341981758,-197287.8367606745,-111351.7746851471,-85936.06207552727,10000.0,-207287.8367606745,-1556854.6597656729
2014-10-31,2015-02-09,Long spread,66,101,1.6660149159573299,0.1243380358478569,255411.57928508247,-216360.1430760433,471771.72236112604,10000.0,245411.57928508247,-1085396.7249151208
2015-03-06,2015-03-10,Long spread,2,4,1.4387164011004046,-0.20438680528285258,-17345.34307940017,-9305.102327793691,-8040.240751606476,10000.0,-27345.34307940017,-26851.464364107902
2015-03-18,2015-03-19,Long spread,1,1,1.2562875134463762,-0.12474463782617261,207305.0099558955,-2581.4964592640877,209886.50641515962,10000.0,197305.0099558955,0.0
2015-03-24,2015-03-25,Long spread,1,1,1.478448076249575,-0.05911228969521376,83363.25602305027,-1509.6562536065505,84872.91227665683,10000.0,73363.25602305027,0.0
2015-04-16,2015-04-22,Short spread,3,6,-1.2583661136964293,0.00399560645920704,516978.7128567194,11836.390373742845,505142.32248297654,10000.0,506978.7128567194,0.0
2015-05-06,2015-05-18,Short spread,8,12,-1.2940150526185101,-0.1811543615222352,327727.4998199735,28009.11483807589,299718.3849818976,10000.0,317727.4998199735,-78723.27318845151
2015-06-02,2015-06-17,Short spread,10,15,-1.6817377933116497,-0.09920093096151833,243300.17188993655,59292.57108499187,184007.6008049447,10000.0,233300.17188993655,-153506.26266377175
2015-07-06,2015-10-05,Short spread,63,91,-1.743208529324895,-0.23697920097052327,-386120.46273838275,119108.45194273634,-505228.91468111903,10000.0,-396120.46273838275,-1693587.4920115613
2015-10-14,2015-11-06,Short spread,16,23,-1.428461833209079,-0.18519886241754313,-4338.151042215904,-13042.083543419736,8703.93250120389,10000.0,-14338.151042215904,-355989.40933545365
