date,focus_ipca_12m
2008-01-04,4.44
2008-01-07,4.64
2008-01-08,4.68
2008-01-09,4.75
2008-01-10,4.13
2008-01-11,4.18
2008-01-14,4.6
2008-01-15,4.6
2008-01-16,4.6
2008-01-17,4.6
2008-01-18,4.31
2008-01-21,4.21
2008-01-22,4.97
2008-01-23,5.01
2008-01-24,4.43
2008-01-25,4.12
2008-01-28,4.53
2008-01-29,4.97
2008-01-30,4.43
2008-01-31,4.0
2008-02-01,4.55
2008-02-06,4.67
2008-02-07,4.22
2008-02-08,4.61
2008-02-11,4.5
2008-02-12,4.73
2008-02-13,4.68
2008-02-14,4.65
2008-02-15,4.62
2008-02-18,4.23
2008-02-19,4.75
2008-02-20,4.12
2008-02-21,4.55
2008-02-22,3.97
2008-02-25,3.96
2008-02-26,3.98
2008-02-27,4.3
2008-02-28,4.63
2008-02-29,4.63
2008-03-03,4.02
2008-03-04,4.49
2008-03-05,3.99
2008-03-06,4.58
2008-03-07,4.31
2008-03-10,4.65
2008-03-11,4.25
2008-03-12,4.25
2008-03-13,4.58
2008-03-14,4.6
2008-03-17,4.01
2008-03-18,4.84
2008-03-19,4.02
2008-03-20,4.03
2008-03-24,4.61
2008-03-25,4.0
2008-03-26,4.68
2008-03-27,4.87
2008-03-28,4.36
2008-03-31,4.35
2008-04-01,4.12
2008-04-02,4.11
2008-04-03,4.11
2008-04-04,4.04
2008-04-07,4.37
2008-04-08,4.74
2008-04-09,4.05
2008-04-10,4.09
2008-04-11,4.79
2008-04-14,4.82
2008-04-15,4.13
2008-04-16,4.97
2008-04-17,4.85
2008-04-18,4.99
2008-04-22,4.36
2008-04-23,4.14
2008-04-24,4.42
2008-04-25,4.94
2008-04-28,4.39
2008-04-29,4.94
2008-04-30,4.41
2008-05-02,4.56
2008-05-05,5.33
2008-05-06,5.33
2008-05-07,4.39
2008-05-08,5.9
2008-05-09,4.25
2008-05-12,5.64
2008-05-13,6.36
2008-05-14,4.33
2008-05-15,4.31
2008-05-16,4.65
2008-05-19,5.01
2008-05-20,4.75
2008-05-21,4.44
2008-05-23,4.84
2008-05-26,4.98
2008-05-27,5.82
2008-05-28,6.17
2008-05-29,4.78
2008-05-30,6.19
2008-06-02,6.42
2008-06-03,4.76
2008-06-04,5.04
2008-06-05,6.24
2008-06-06,7.55
2008-06-09,4.51
2008-06-10,6.82
2008-06-11,4.56
2008-06-12,6.5
2008-06-13,4.94
2008-06-16,4.96
2008-06-17,4.83
2008-06-18,4.61
2008-06-19,5.13
2008-06-20,7.87
2008-06-23,7.2
2008-06-24,8.09
2008-06-25,7.31
2008-06-26,5.27
2008-06-27,7.07
2008-06-30,7.07
2008-07-01,8.28
2008-07-02,5.03
2008-07-03,5.05
2008-07-04,8.38
2008-07-07,5.62
2008-07-08,7.1
2008-07-09,5.32
2008-07-10,4.84
2008-07-11,4.87
2008-07-14,7.57
2008-07-15,5.46
2008-07-16,4.89
2008-07-17,7.47
2008-07-18,5.54
2008-07-21,4.78
2008-07-22,5.39
2008-07-23,5.38
2008-07-24,5.58
2008-07-25,5.44
2008-07-28,4.74
2008-07-29,7.55
2008-07-30,5.32
2008-07-31,4.74
2008-08-01,5.23
2008-08-04,5.36
2008-08-05,4.77
2008-08-06,6.96
2008-08-07,5.71
2008-08-08,6.36
2008-08-11,5.3
2008-08-12,5.29
2008-08-13,6.04
2008-08-14,6.34
2008-08-15,6.25
2008-08-18,5.99
2008-08-19,5.0
2008-08-20,5.06
2008-08-21,5.03
2008-08-22,6.03
2008-08-25,4.93
2008-08-26,4.77
2008-08-27,5.46
2008-08-28,5.26
2008-08-29,5.81
2008-09-01,4.98
2008-09-02,5.51
2008-09-03,4.99
2008-09-04,4.93
2008-09-05,5.86
2008-09-08,5.81
2008-09-09,5.24
2008-09-10,4.97
2008-09-11,4.85
2008-09-12,4.98
2008-09-15,6.04
2008-09-16,4.96
2008-09-17,4.88
2008-09-18,4.96
2008-09-19,4.81
2008-09-22,5.38
2008-09-23,5.14
2008-09-24,4.86
2008-09-25,5.41
2008-09-26,5.4
2008-09-29,5.21
2008-09-30,5.97
2008-10-01,5.63
2008-10-02,5.69
2008-10-03,5.27
2008-10-06,6.01
2008-10-07,6.02
2008-10-08,5.2
2008-10-09,4.93
2008-10-10,4.74
2008-10-13,4.97
2008-10-14,5.79
2008-10-15,5.16
2008-10-16,5.95
2008-10-17,6.16
2008-10-20,4.78
2008-10-21,5.24
2008-10-22,5.01
2008-10-23,4.66
2008-10-24,6.09
2008-10-27,5.97
2008-10-28,4.71
2008-10-29,5.03
2008-10-30,6.08
2008-10-31,6.57
2008-11-03,6.1
2008-11-04,6.72
2008-11-05,5.98
2008-11-06,5.05
2008-11-07,5.39
2008-11-10,4.6
2008-11-11,4.7
2008-11-12,5.39
2008-11-13,6.21
2008-11-14,6.41
2008-11-17,6.11
2008-11-18,6.01
2008-11-19,4.66
2008-11-20,4.66
2008-11-21,4.67
2008-11-24,5.4
2008-11-25,6.2
2008-11-26,5.01
2008-11-27,5.45
2008-11-28,5.08
2008-12-01,5.85
2008-12-02,4.69
2008-12-03,5.78
2008-12-04,4.69
2008-12-05,5.34
2008-12-08,5.52
2008-12-09,4.69
2008-12-10,5.16
2008-12-11,5.08
2008-12-12,5.05
2008-12-15,5.06
2008-12-16,5.15
2008-12-17,4.7
2008-12-18,5.06
2008-12-19,5.51
2008-12-22,4.56
2008-12-23,5.06
2008-12-24,5.13
2008-12-26,4.6
2008-12-29,4.93
2008-12-30,4.7
2008-12-31,4.96
2009-01-02,5.18
2009-01-05,4.96
2009-01-06,4.68
2009-01-07,4.65
2009-01-08,5.68
2009-01-09,4.91
2009-01-12,4.65
2009-01-13,4.96
2009-01-14,4.99
