date,ibc_br_sa
2008-01-01,89.53106
2008-02-01,89.26008
2008-03-01,88.66912
2008-04-01,89.85514
2008-05-01,90.76789
2008-06-01,91.73032
2008-07-01,91.62432
2008-08-01,91.82998
2008-09-01,91.75748
2008-10-01,89.95087
2008-11-01,87.74859
2008-12-01,85.31127
2009-01-01,85.18088
2009-02-01,85.87331
2009-03-01,86.33049
2009-04-01,86.70318
2009-05-01,87.56196
2009-06-01,88.18302
2009-07-01,88.30603
2009-08-01,89.7449
2009-09-01,90.46098
2009-10-01,91.19892
2009-11-01,91.29501
2009-12-01,92.65582
2010-01-01,94.04033
2010-02-01,94.9433
2010-03-01,95.85002
2010-04-01,96.35766
2010-05-01,95.60552
2010-06-01,95.42847
2010-07-01,95.95407
2010-08-01,96.55071
2010-09-01,97.42597
2010-10-01,97.26529
2010-11-01,98.36716
2010-12-01,97.33001
2011-01-01,98.55076
2011-02-01,98.92836
2011-03-01,98.95009
2011-04-01,98.9728
2011-05-01,99.14927
2011-06-01,99.57708
2011-07-01,99.67283
2011-08-01,99.57008
2011-09-01,99.47199
2011-10-01,99.4054
2011-11-01,99.8932
2011-12-01,98.92824
2012-01-01,97.69901
2012-02-01,98.58887
2012-03-01,98.40131
2012-04-01,98.87951
2012-05-01,100.02006
2012-06-01,100.74394
2012-07-01,100.90465
2012-08-01,101.24114
2012-09-01,100.8372
2012-10-01,101.66903
2012-11-01,101.5368
2012-12-01,101.11541
2013-01-01,101.73475
2013-02-01,100.81851
2013-03-01,101.75244
2013-04-01,102.83683
2013-05-01,103.05339
2013-06-01,102.74886
2013-07-01,103.04265
2013-08-01,103.37048
2013-09-01,103.90487
2013-10-01,103.89768
2013-11-01,104.14457
2013-12-01,104.45676
2014-01-01,104.04286
2014-02-01,103.80613
2014-03-01,103.64662
2014-04-01,103.21517
2014-05-01,102.82558
2014-06-01,100.71865
2014-07-01,101.43225
2014-08-01,102.28778
2014-09-01,102.86646
2014-10-01,102.05867
2014-11-01,102.20086
2014-12-01,102.64018
2015-01-01,101.8155
2015-02-01,101.08609
2015-03-01,100.90693
2015-04-01,99.65606
2015-05-01,99.00041
2015-06-01,97.92509
2015-07-01,96.93495
2015-08-01,97.38494
2015-09-01,96.65598
2015-10-01,97.2129
2015-11-01,96.03792
2015-12-01,95.70125
2016-01-01,95.25534
2016-02-01,95.22152
2016-03-01,94.49125
2016-04-01,94.43174
2016-05-01,94.09936
2016-06-01,94.35527
2016-07-01,94.0857
2016-08-01,93.79533
2016-09-01,93.85792
2016-10-01,93.59054
2016-11-01,93.43476
2016-12-01,93.2166
2017-01-01,93.9009
2017-02-01,95.10675
2017-03-01,95.10838
2017-04-01,94.9326
2017-05-01,94.7918
2017-06-01,95.24586
2017-07-01,95.34516
2017-08-01,95.07244
2017-09-01,95.04257
2017-10-01,95.32205
2017-11-01,95.35002
2017-12-01,96.86882
2018-01-01,96.22121
2018-02-01,95.90327
2018-03-01,95.91081
2018-04-01,96.45372
2018-05-01,93.55124
2018-06-01,96.16264
2018-07-01,96.49733
2018-08-01,97.28302
2018-09-01,96.6876
2018-10-01,97.02722
2018-11-01,97.17266
2018-12-01,97.58103
2019-01-01,97.45533
2019-02-01,96.71471
2019-03-01,96.15153
2019-04-01,96.23963
2019-05-01,97.54391
2019-06-01,96.96174
2019-07-01,96.69014
2019-08-01,96.9505
2019-09-01,97.30916
2019-10-01,98.49866
2019-11-01,98.0823
2019-12-01,97.79923
2020-01-01,97.93784
2020-02-01,98.07742
2020-03-01,91.44603
2020-04-01,83.18811
2020-05-01,85.81248
2020-06-01,89.62007
2020-07-01,91.97711
2020-08-01,93.73536
2020-09-01,95.63693
2020-10-01,97.51671
2020-11-01,97.4991
2020-12-01,97.67943
2021-01-01,97.93998
2021-02-01,98.85452
2021-03-01,95.30889
2021-04-01,96.45734
2021-05-01,97.25997
2021-06-01,96.80299
2021-07-01,96.48058
2021-08-01,97.07685
2021-09-01,96.9934
2021-10-01,97.47908
2021-11-01,98.95021
2021-12-01,99.13496
2022-01-01,97.59851
2022-02-01,98.58788
2022-03-01,99.53411
2022-04-01,99.71472
2022-05-01,99.71896
2022-06-01,99.54987
2022-07-01,101.43668
2022-08-01,101.06191
2022-09-01,101.08936
2022-10-01,101.38469
2022-11-01,100.4906
2022-12-01,100.23388
2023-01-01,100.28521
2023-02-01,103.29712
2023-03-01,102.96001
2023-04-01,104.36716
2023-05-01,102.52956
2023-06-01,102.39167
2023-07-01,102.85707
2023-08-01,102.45143
2023-09-01,102.47551
2023-10-01,102.78063
2023-11-01,103.51678
2023-12-01,104.50538
2024-01-01,104.47437
2024-02-01,104.87054
2024-03-01,104.47111
2024-04-01,105.27083
2024-05-01,105.66216
2024-06-01,106.53112
2024-07-01,106.90838
2024-08-01,107.075
2024-09-01,107.96529
2024-10-01,108.15165
2024-11-01,107.83412
2024-12-01,106.90886
2025-01-01,108.32075
2025-02-01,109.04864
2025-03-01,109.87585
2025-04-01,110.40313
2025-05-01,109.03061
2025-06-01,108.8466
2025-07-01,108.31772
2025-08-01,108.69252
2025-09-01,108.54893
2025-10-01,108.60643
2025-11-01,109.25065
2025-12-01,109.05574
